species	tissue	cells	fraction_of_corpus
Arabidopsis thaliana	Vegetative shoot apex	63034	0.23112066057521669
Arabidopsis thaliana	Whole root	60034	0.22012085123857852
Fragaria vesca	True leaf	46028	0.16876640804892715
Catharanthus roseus	Leaf	41653	0.1527250194329965
Brassica rapa	Rosette leaf	22741	0.08338222137482951
Arabidopsis thaliana	Rosette leaf	15400	0.056465687928075915
Gossypium bickii	Cotyledon	12895	0.04728084713198304
Arabidopsis thaliana	True leaf	10947	0.04013830426939266
