label_key	label	display_label	category	rank	gene	score	log2fc	mean_in	mean_out	detection_in	detection_out	detection_delta	n_cells_in	n_cells_out
cell_type	Columella root cap	Columella root cap	root_identity	1	AT5G02380	1.5044695138931274	2.847292184829712	2.5428199768066406	0.352480947971344	0.6397849321365356	0.1113988906145095	0.5283860415220262	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	2	AT2G04025	1.2991318702697754	5.876279830932617	0.7582195401191711	0.0119250109419226	0.2250384092330932	0.0039577451534569	0.2210806640796363	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	3	AT2G36950	0.8489435911178589	1.9339241981506348	2.031414031982422	0.5309159159660339	0.6036866307258606	0.1647120416164398	0.4389745891094208	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	4	AT3G20840	0.7751506567001343	5.15822696685791	0.4219471216201782	0.0108441822230815	0.1543778777122497	0.0041032508015632	0.1502746269106865	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	5	AT3G45730	0.762669026851654	3.296443462371826	0.7255162596702576	0.0729463845491409	0.258832573890686	0.0274714082479476	0.23136116564273837	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	6	AT3G16770	0.7011561393737793	3.797139167785645	0.5312687754631042	0.0372893698513507	0.1981566846370697	0.0135028958320617	0.184653788805008	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	7	AT4G37870	0.6828352212905884	2.4246368408203125	0.9563980102539062	0.177321657538414	0.3433179855346679	0.0616942644119262	0.2816237211227417	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	8	AT4G15910	0.679596483707428	2.469400405883789	0.9803344011306764	0.1761957854032516	0.3325652778148651	0.0573582053184509	0.2752070724964142	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	9	AT5G23820	0.666468620300293	1.9417786598205569	1.379792332649231	0.358413815498352	0.4623655974864959	0.1191397756338119	0.343225821852684	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	10	AT2G43610	0.616227388381958	1.5771712064743042	2.3977010250091557	0.8028967380523682	0.5913978219032288	0.2006809711456298	0.390716850757599	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	11	AT1G52690	0.6059946417808533	2.6647486686706543	0.8528265357017517	0.1336481422185897	0.2711213529109955	0.0437098033726215	0.22741154953837397	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	12	AT3G48000	0.5677882432937622	2.251352310180664	0.8367753028869629	0.1749555617570877	0.3156681954860687	0.0634694322943687	0.25219876319170004	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	13	AT2G38230	0.5460072755813599	3.924584627151489	0.3848848342895508	0.0244120676070451	0.148233488202095	0.0091086346656084	0.1391248535364866	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	14	AT4G23590	0.5444766283035278	2.9251933097839355	0.5717809200286865	0.0744080245494842	0.2135176658630371	0.027384104207158	0.1861335616558791	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	15	AT4G33800	0.5238591432571411	4.045931339263916	0.3549322783946991	0.0205486789345741	0.1374807953834533	0.0080027934163808	0.12947800196707251	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	16	AT1G54000	0.5222151875495911	1.8848971128463743	1.1004540920257568	0.2972331047058105	0.3725038468837738	0.0954515039920806	0.2770523428916932	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	17	AT4G27090	0.5108160972595215	1.6404677629470823	1.2636384963989258	0.4046359360218048	0.4385560750961303	0.1271716654300689	0.3113844096660614	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	18	AT1G25275	0.5099326372146606	1.4621336460113523	1.700846791267395	0.6166954636573792	0.5291858911514282	0.1804266273975372	0.348759263753891	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	19	AT5G10510	0.5096167325973511	3.402771234512329	0.4287396669387817	0.0396321006119251	0.1651305705308914	0.0153653640300035	0.1497652065008879	1302	34363
cell_type	Columella root cap	Columella root cap	root_identity	20	AT2G39980	0.4923653900623321	3.611539840698242	0.4046400189399719	0.0321863107383251	0.148233488202095	0.011902336962521	0.136331151239574	1302	34363
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	1	ATCG00790	1.973498821258545	2.992196559906006	3.235337734222412	0.4057363271713257	0.7945736646652222	0.1350251734256744	0.6595484912395477	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	2	ATCG00740	1.9526309967041016	3.394824743270874	2.462836742401123	0.2332436591386795	0.6550387740135193	0.0798600241541862	0.575178749859333	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	3	ATCG00170	1.9166932106018064	3.669312477111816	2.1268718242645264	0.1662523746490478	0.5794573426246643	0.057099774479866	0.5223575681447983	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	4	ATCG00800	1.9101682901382449	3.0869810581207275	2.842459917068481	0.3336364328861236	0.7306201457977295	0.1118381768465042	0.6187819689512253	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	5	ATCG00770	1.863161325454712	3.3965060710906982	2.309071779251098	0.2183689922094345	0.6240310072898865	0.0754786729812622	0.5485523343086243	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	6	ATCG00810	1.8051109313964844	3.327132225036621	2.289743185043335	0.2272495031356811	0.6201550364494324	0.0776124522089958	0.5425425842404366	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	7	ATCG01130	1.6985132694244385	2.564416885375977	4.189279556274414	0.7073968052864075	0.8779069781303406	0.2155680060386657	0.6623389720916749	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	8	ATCG00780	1.6776177883148191	3.219578742980957	2.308587551116944	0.2469388842582702	0.606589138507843	0.0855216383934021	0.5210675001144409	516	35149
cell_type	G1/G0 phase	G1/G0 phase	cell_cycle_or_other	9	ATCG00820	1.5944006443023682	3.4301300048828125	1.8713631629943848	0.1727073192596435	0.5251938104629517	0.0603715628385543	0.4648222476243974	516	35149
