acceptance_rate	accepted_cells	threshold	selective_accuracy	known_label_accuracy	known_label_fraction	rejected_cells	rejected_error_capture	rejected_open_set_capture
0.1	232	0.5817504525184631	0.34051724137931033	0.34801762114537443	0.978448275862069	2092	0.9227662796567391	0.9915824915824916
0.2	465	0.4911094903945923	0.26881720430107525	0.2796420581655481	0.9612903225806452	1859	0.828369510348309	0.9696969696969697
0.3	697	0.44440481066703796	0.2568149210903874	0.2728658536585366	0.9411764705882353	1627	0.7385159010600707	0.930976430976431
0.4	930	0.40865522623062134	0.23333333333333334	0.24885321100917432	0.9376344086021505	1394	0.6400807672892479	0.9023569023569024
0.5	1162	0.36861467361450195	0.2117039586919105	0.22693726937269373	0.9328743545611016	1162	0.5376072690560323	0.8686868686868687
0.6	1394	0.32159537076950073	0.18866571018651362	0.2069236821400472	0.9117647058823529	930	0.4290762241292277	0.7929292929292929
0.7	1627	0.28170084953308105	0.17332513829133375	0.19488597097442986	0.8893669330055316	697	0.3210499747602221	0.696969696969697
0.8	1859	0.23593685030937195	0.17159763313609466	0.19962453066332916	0.8596019365250135	465	0.2226148409893993	0.5606060606060606
0.9	2092	0.1359364241361618	0.16108986615678778	0.1983519717480871	0.8121414913957935	232	0.11408379606259465	0.3383838383838384
1.0	2324	-0.046792078763246536	0.14759036144578314	0.19826589595375724	0.7444061962134251	0	0.0	0.0
