case_id	threshold	accepted_cells	accepted_accuracy	accepted_error_rate	review_cells	review_accuracy	review_error_rate	review_error_rate_minus_accepted_error_rate	reference_type
strict_heldout_3964	0.7	2239	0.8570790531487271	0.14292094685127288	1725	0.4098550724637681	0.5901449275362319	0.44722398068495905	author_label_reference_not_independent_blind_review
arabidopsis_secondary_root	0.7	9898	0.9241260860779955	0.07587391392200445	1862	0.5596133190118152	0.44038668098818473	0.3645127670661803	author_label_reference_not_independent_blind_review
wheat_nonoverlap	0.7	2963	0.8288896388795141	0.171110361120486	4201	0.5189240656986431	0.4810759343013568	0.3099655731808708	author_label_reference_not_independent_blind_review
sorghum_sealed_library	0.7	14986	0.9081809689043107	0.09181903109568931	4330	0.523325635103926	0.4766743648960739	0.3848553338003846	author_label_reference_not_independent_blind_review
