dataset_id	species	tissue_or_scope	priority	status	accession	source_url	page_url	fetch_status	file_count	file_type_counts	matrix_file_count	candidate_files	recommended_action	download_ready	error
tomato_mycorrhiza_snuc_atlas	Solanum lycopersicum	root mycorrhizal symbiosis	B	download_candidate	GSE314252	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314252	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314252	ok	2	mtx_archive:1;seurat_rds:1	2	GSE314252_RAW.tar;GSE314252_seuratObj_for_pub.rds	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse182507	Medicago truncatula	public discovery candidate	A	ncbi_discovery_candidate	GSE182507	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182507	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182507	ok	1	mtx_archive:1	1	GSE182507_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse196882	Zea mays	public discovery candidate	A	ncbi_discovery_candidate	GSE196882	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196882	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196882	ok	3	archive:2;mtx_archive:1	1	GSE196882_Images_capture_area.tar.gz;GSE196882_RAW.tar;GSE196882_XGE22_image.tar.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse201640	Zea mays	public discovery candidate	A	ncbi_discovery_candidate	GSE201640	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201640	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201640	ok	1	mtx_archive:1	1	GSE201640_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse201700	Zea mays	public discovery candidate	A	ncbi_discovery_candidate	GSE201700	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201700	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201700	ok	1	mtx_archive:1	1	GSE201700_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse220277	Arabidopsis	public discovery candidate	A	ncbi_discovery_candidate	GSE220277	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220277	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220277	ok	1	mtx_archive:1	1	GSE220277_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse222584	Oryza sativa	public discovery candidate	A	ncbi_discovery_candidate	GSE222584	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222584	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222584	ok	1	mtx_archive:1	1	GSE222584_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse224228	Triticum aestivum	public discovery candidate	A	ncbi_discovery_candidate	GSE224228	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224228	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224228	ok	1	mtx_archive:1	1	GSE224228_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234704	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234704	ok	9	metadata_table:8;mtx_archive:1	1	GSE234704_Alpha_DEG_diet.csv.gz;GSE234704_Beta_DEG_diet.csv.gz;GSE234704_Delta_DEG_diet.csv.gz;GSE234704_RAW.tar;GSE234704_bcells_DEG_diet.csv.gz;GSE234704_cdc_DEG_diet.csv.gz;GSE234704_mf_DEG_diet.csv.gz;GSE234704_pdc_DEG_diet.csv.gz;GSE234704_tcells_DEG_diet.csv.gz	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
discovered_gse235494	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE235494	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235494	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235494	ok	1	mtx_archive:1	1	GSE235494_RAW.tar	download MTX/10x archive; convert with geo_mtx_tar_to_npz.py or geo_10x_to_npz.py	True	
