query_label	db	uid	accession	title	organism	sample_count	publication_date	url	priority	score	recommended_action	matched_queries	summary
medicinal_secondary_metabolism_single_cell	gds	200229063	GSE229063	VDJ analysis of IL-10+ and IL-10- splenic B1a, MZ, and FO B cells from sIgM-/- mouse	Mus musculus	6	2023/11/15	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229063	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	We compared the clonotypes of IL-10+ and IL-10- B1a, marginal zone and follicular B cells from the spleen of sIgM-/-IL10GFP mouse using 10X single cell RNAseq to analyze potential differences in clonality between IL-10+ and IL-10- B cells.
medicinal_secondary_metabolism_single_cell	gds	200229790	GSE229790	Single cell insights into epithelial morphogenesis in the neonatal mouse uterus	Mus musculus	12	2023/09/14	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229790	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	The uterus is an essential organ for reproduction in mammals, however the cellular and molecular mechanisms that direct its development remain insufficiently understood. To fill this knowledge gap, the epithelium of the neonatal mouse uterus was isolated and subjected to single cell transcriptome (scRNA-seq) analysis. Substantial differences in transcriptional profiles and cell types were evident as the epithelium developed from postnatal days 1 to 15. Both the undifferentiated epithelium and determined luminal epithelium were heterogeneous and contained several different cell clusters. Novel glandular epithelial-specific genes (Gas6 and Cited4) were validated by in situ hybridization during uterine development. Trajectory analyses provided a framework for understanding epithelium maturation and differentiation of the glandular epithelium. A candidate set of transcription factors and...
plant_single_cell_gds	gds	200229791	GSE229791	Multimodal hierarchical classification allows for efficient annotation of CITE-seq data	Homo sapiens	102	2023/08/08	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229791	C	2	out-of-scope non-plant organism unless manual review overrides	plant_single_cell_gds	Single-cell RNA sequencing (scRNA-seq) is an invaluable tool for profiling cells in complex tissues and dissecting activation states that lack well-defined surface protein expression. For immune cells, the transcriptomic profile captured by scRNA- seq cannot always identify cell states and subsets defined by conventional flow cytometry. Emerging technologies have enabled multimodal sequencing of single cells, such as paired sequencing of the transcriptome and surface proteome by CITE-seq, but integrating these high dimensional modalities for accurate cell type annotation remains a challenge in the field. Here, we describe a machine learning tool called MultiModal Classifier Hierarchy (MMoCHi) for the cell-type annotation of CITE-seq data. Our classifier involves several steps: 1) we use landmark registration to remove batch-related staining artifacts in CITE-Seq protein expression, 2)...
medicinal_secondary_metabolism_single_cell	gds	200229872	GSE229872	Effect of overexpression of Zfp292 in developing retinas	Mus musculus	5	2023/05/31	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229872	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Control CAG-GFP or CAG-Zfp292 (Zfp292-OE) plasmids were electroporated into P0 mouse pups in vivo. We harvested the retinas 4 days later to allow for robust expression, dissociated the retinas into single cell preps, collected the GFP+ Retinal progenitor cells (RPCs) via FACS sorting from control or Zfp292-OE conditions, and processed the cells for bulk RNA-seq.
woody_legume_cereal_single_cell_gds	gds	200229926	GSE229926	HIV-1 LTR targeting 4C-seq	Homo sapiens	10	2023/05/01	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229926	C	2	out-of-scope non-plant organism unless manual review overrides	woody_legume_cereal_single_cell_gds	HIV-1 integration introduces ectopic transcription factor binding sites into host chromatin. We postulate that the integrated provirus serves as an ectopic enhancer that recruits additional transcriptional factors to the integration locus, increases chromatin accessibility, changes 3D chromatin interactions, and enhances both retroviral and host gene expression. We used 4 well-characterized HIV-1-infected cell line clones having unique integration sites and low to high levels of HIV-1 expression. Using single-cell DOGMA-seq, which captured the heterogeneity of HIV-1 expression and host chromatin accessibility, we found that HIV-1 transcription correlated with HIV-1 accessibility and host chromatin accessibility. HIV-1 integration increased local host chromatin accessibility within ~5–30 kb distance. CRISPRa and CRISPRi-mediated HIV-1 promoter activation and inhibition confirmed integr...
woody_legume_cereal_single_cell_gds	gds	200230313	GSE230313	HiC and H3K27ac HiChIP of clonal Jurkat T cells infected HIV-1 model NL4-3-D6-drEGFP	Homo sapiens	13	2023/05/01	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230313	C	2	out-of-scope non-plant organism unless manual review overrides	woody_legume_cereal_single_cell_gds	HIV-1 integration introduces ectopic transcription factor binding sites into host chromatin. We postulate that the integrated provirus serves as an ectopic enhancer that recruits additional transcriptional factors to the integration locus, increases chromatin accessibility, changes 3D chromatin interactions, and enhances both retroviral and host gene expression. We used 4 well-characterized HIV-1-infected cell line clones having unique integration sites and low to high levels of HIV-1 expression. Using single-cell DOGMA-seq, which captured the heterogeneity of HIV-1 expression and host chromatin accessibility, we found that HIV-1 transcription correlated with HIV-1 accessibility and host chromatin accessibility. HIV-1 integration increased local host chromatin accessibility within ~5–30 kb distance. CRISPRa and CRISPRi-mediated HIV-1 promoter activation and inhibition confirmed integr...
medicinal_secondary_metabolism_single_cell	gds	200230447	GSE230447	Osteopontin drives neuroinflammation and cell loss in MAPT-N279K frontotemporal dementia patient neurons	Homo sapiens	18	2024/04/15	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230447	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Frontotemporal dementia (FTD) is an incurable group of early-onset dementias that can be caused by deposition of hyperphosphorylated tau in patient brains. However, the mechanisms leading to neurodegeneration remain largely unknown. Here, we combined single-cell analyses of FTD patient brains with a stem cell culture and transplantation model of FTD. We identified disease phenotypes in FTD neurons carrying the MAPT-N279K mutation, which were related to oxidative stress, oxidative phosphorylation and neuroinflammation with an upregulation of the inflammation-associated protein osteopontin (OPN). Human FTD neurons survived less and elicited an increased microglial response after transplantation into the mouse forebrain, that we further characterized by single nucleus RNA-sequencing of microdissected grafts. Notably, downregulation of OPN in engrafted FTD neurons resulted in improved eng...
medicinal_secondary_metabolism_single_cell	gds	200230450	GSE230450	Osteopontin drives neuroinflammation and cell loss in MAPT-N279K frontotemporal dementia patient neurons	Homo sapiens	22	2024/04/15	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230450	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Frontotemporal dementia (FTD) is an incurable group of early-onset dementias that can be caused by deposition of hyperphosphorylated tau in patient brains. However, the mechanisms leading to neurodegeneration remain largely unknown. Here, we combined single-cell analyses of FTD patient brains with a stem cell culture and transplantation model of FTD. We identified disease phenotypes in FTD neurons carrying the MAPT-N279K mutation, which were related to oxidative stress, oxidative phosphorylation and neuroinflammation with an upregulation of the inflammation-associated protein osteopontin (OPN). Human FTD neurons survived less and elicited an increased microglial response after transplantation into the mouse forebrain, that we further characterized by single nucleus RNA-sequencing of microdissected grafts. Notably, downregulation of OPN in engrafted FTD neurons resulted in improved eng...
medicinal_secondary_metabolism_single_cell	gds	200230519	GSE230519	Osteopontin drives neuroinflammation and cell loss in MAPT-N279K frontotemporal dementia patient neurons	Homo sapiens	21	2024/04/15	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230519	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Frontotemporal dementia (FTD) is an incurable group of early-onset dementias that can be caused by deposition of hyperphosphorylated tau in patient brains. However, the mechanisms leading to neurodegeneration remain largely unknown. Here, we combined single-cell analyses of FTD patient brains with a stem cell culture and transplantation model of FTD. We identified disease phenotypes in FTD neurons carrying the MAPT-N279K mutation, which were related to oxidative stress, oxidative phosphorylation and neuroinflammation with an upregulation of the inflammation-associated protein osteopontin (OPN). Human FTD neurons survived less and elicited an increased microglial response after transplantation into the mouse forebrain, that we further characterized by single nucleus RNA-sequencing of microdissected grafts. Notably, downregulation of OPN in engrafted FTD neurons resulted in improved eng...
medicinal_secondary_metabolism_single_cell	gds	200230563	GSE230563	Using human pluripotent stem cells to dissect the molecular basis of human pharyngeal endoderm development [scRNA_RA_titration]	Homo sapiens	4	2023/08/17	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230563	C	2	out-of-scope non-plant organism unless manual review overrides	medicinal_secondary_metabolism_single_cell	Developmental defects affecting the pharynx and derived tissues can be found in a variety of syndromes, including DiGeorge, 22q11 deletion, CHARGE and Otofaciocervical syndromes. The associated malformations and dysfunctions of pharynx-derived tissues precipitate phenotypes ranging from malformed features and endocrine disorders to severe immunodeficiency, some of which are associated with high morbidity or elaborate treatment and health care costs. While some of the developmental defects have been linked to mutations or single-nucleotide polymorphisms in transcription factors (TFs) or cis-regulatory elements (CREs), the origin of most pharynx-specific birth defects remain poorly understood and the underlying genetic causes as well as epigenetic context remain elusive. Unfortunately, restricted human tissue access, and discordance of genetic factor requirement and phenotypic penetranc...
