dataset_id	accession	species	tissue_or_scope	priority	status	filename	file_type	url	matrix_like
maize_root_ground_tissue_atlas	GSE172280	Zea mays	root tissues	B	download_candidate	GSE172280_Maize_roottissues_Normalized.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE172nnn/GSE172280/suppl/GSE172280_Maize_roottissues_Normalized.csv.gz	False
discovered_gse196882	GSE196882	Zea mays	public discovery candidate	A	ncbi_discovery_candidate	GSE196882_Images_capture_area.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE196nnn/GSE196882/suppl/GSE196882_Images_capture_area.tar.gz	False
discovered_gse196882	GSE196882	Zea mays	public discovery candidate	A	ncbi_discovery_candidate	GSE196882_XGE22_image.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE196nnn/GSE196882/suppl/GSE196882_XGE22_image.tar.gz	False
discovered_gse212404	GSE212404	Solanum lycopersicum	public discovery candidate	A	ncbi_discovery_candidate	GSE212404_20211116_PROTO_ITAG4.1_Kallisto_raw_counts.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212404/suppl/GSE212404_20211116_PROTO_ITAG4.1_Kallisto_raw_counts.csv.gz	False
discovered_gse224928	GSE224928	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE224928_10x-all_hypocotyl_barcodes.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224928/suppl/GSE224928_10x-all_hypocotyl_barcodes.tsv.gz	False
discovered_gse224928	GSE224928	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE224928_10x-all_hypocotyl_features.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224928/suppl/GSE224928_10x-all_hypocotyl_features.tsv.gz	False
discovered_gse224928	GSE224928	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE224928_VASAseq-barcodes.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224928/suppl/GSE224928_VASAseq-barcodes.tsv.gz	False
discovered_gse224928	GSE224928	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE224928_VASAseq-features.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224928/suppl/GSE224928_VASAseq-features.tsv.gz	False
discovered_gse224928	GSE224928	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE224928_WTd14-10x-barcodes.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224928/suppl/GSE224928_WTd14-10x-barcodes.tsv.gz	False
discovered_gse224928	GSE224928	Arabidopsis thaliana	public discovery candidate	A	ncbi_discovery_candidate	GSE224928_WTd14-10x-features.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE224nnn/GSE224928/suppl/GSE224928_WTd14-10x-features.tsv.gz	False
discovered_gse226218	GSE226218	Gossypium arboreum	public discovery candidate	A	ncbi_discovery_candidate	GSE226218_barcodes.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE226nnn/GSE226218/suppl/GSE226218_barcodes.tsv.gz	False
discovered_gse226218	GSE226218	Gossypium arboreum	public discovery candidate	A	ncbi_discovery_candidate	GSE226218_features.tsv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE226nnn/GSE226218/suppl/GSE226218_features.tsv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_Alpha_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_Alpha_DEG_diet.csv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_Beta_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_Beta_DEG_diet.csv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_Delta_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_Delta_DEG_diet.csv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_bcells_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_bcells_DEG_diet.csv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_cdc_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_cdc_DEG_diet.csv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_mf_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_mf_DEG_diet.csv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_pdc_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_pdc_DEG_diet.csv.gz	False
discovered_gse234704	GSE234704	Mus musculus	public discovery candidate	A	ncbi_discovery_candidate	GSE234704_tcells_DEG_diet.csv.gz	metadata_table	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234704/suppl/GSE234704_tcells_DEG_diet.csv.gz	False
brassicaceae_multi_species_root_atlas	GSE268881	Brassicaceae	roots across five species and abiotic-stress adaptation	A	download_candidate	GSE268881_integratedAth.RDS.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268881/suppl/GSE268881_integratedAth.RDS.tar.gz	False
brassicaceae_multi_species_root_atlas	GSE268881	Brassicaceae	roots across five species and abiotic-stress adaptation	A	download_candidate	GSE268881_integratedAthEsaSirSpa.RDS.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268881/suppl/GSE268881_integratedAthEsaSirSpa.RDS.tar.gz	False
brassicaceae_multi_species_root_atlas	GSE268881	Brassicaceae	roots across five species and abiotic-stress adaptation	A	download_candidate	GSE268881_integratedCsa.RDS.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268881/suppl/GSE268881_integratedCsa.RDS.tar.gz	False
brassicaceae_multi_species_root_atlas	GSE268881	Brassicaceae	roots across five species and abiotic-stress adaptation	A	download_candidate	GSE268881_integratedEsa.RDS.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268881/suppl/GSE268881_integratedEsa.RDS.tar.gz	False
brassicaceae_multi_species_root_atlas	GSE268881	Brassicaceae	roots across five species and abiotic-stress adaptation	A	download_candidate	GSE268881_integratedSir.RDS.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268881/suppl/GSE268881_integratedSir.RDS.tar.gz	False
brassicaceae_multi_species_root_atlas	GSE268881	Brassicaceae	roots across five species and abiotic-stress adaptation	A	download_candidate	GSE268881_integratedSpa.RDS.tar.gz	archive	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268881/suppl/GSE268881_integratedSpa.RDS.tar.gz	False
